Size,Random_Standard,Random_Intro,Reverse_Standard,Reverse_Intro,Almost_Standard,Almost_Intro
63100,11562,9096,9313,6373,7276,5688
63200,11497,9358,9309,6276,7419,5766
63300,11316,9287,9255,6746,7195,5682
63400,11284,9340,9094,6606,7269,5766
63500,12055,9397,9467,6501,7626,5733
63600,11683,9468,9555,6820,7355,5611
63700,11522,9361,9696,6456,7378,5841
63800,11723,9577,9245,6465,7448,5671
63900,11963,9485,9717,6895,7518,5961
64000,11856,9753,9592,6623,7582,5967
64100,11961,9617,9366,6563,7348,5830
64200,11748,9461,9177,6367,7381,6370
64300,11699,9621,9515,6345,7398,5943
64400,11712,9703,9696,6541,7309,5926
64500,11953,9714,9663,6688,7380,5975
64600,11921,10008,9577,6737,7396,6011
64700,12107,9674,9346,6840,7461,5891
64800,11836,9467,9318,6664,7467,5995
64900,12175,9916,9616,6619,7494,6209
65000,11847,9450,9862,6627,7665,5971
65100,12011,9921,9500,6852,7573,5950
65200,12044,9770,9398,6560,7369,5814
65300,12053,9661,9841,6615,7566,5871
65400,12268,9742,9959,6797,7507,5953
65500,12253,9785,9388,6781,7607,6006
65600,12683,9851,9966,7240,7665,5965
65700,12016,9949,10163,7187,7440,5855
65800,12004,9729,10520,7096,7533,6055
65900,12024,9989,9905,6486,7669,6163
66000,11942,9971,9880,7116,7508,6000
66100,12202,9839,10351,7275,7818,5984
66200,12419,9993,9681,6739,7753,5961
66300,12426,9985,10037,6853,7593,5941
66400,12149,10031,10075,6943,7628,6073
66500,12404,9797,9910,6906,7568,5951
66600,12571,10182,10132,6605,7653,5904
66700,12507,10008,9747,6848,7733,5935
66800,12530,9957,9918,6821,7740,5969
66900,12407,9840,9713,6665,7839,6155
67000,12240,9937,10042,7554,7673,6091
67100,12522,10117,9896,7073,7640,6113
67200,12355,9924,9861,7244,7818,6060
67300,12547,9988,9948,6792,7802,6089
67400,12388,9959,9898,7575,7750,6274
67500,12787,10051,10382,7302,7795,6335
67600,12498,10454,9791,7033,7916,6432
67700,12617,10028,9969,6840,7857,6223
67800,12862,10248,10339,6822,8206,6059
67900,12587,10243,9925,7064,7633,5964
68000,12467,10110,10441,6945,7823,6218
68100,12560,10708,10228,6762,7820,6136
68200,12496,10186,10222,7049,7836,6134
